Stay Name,Stay Type,Country,City,Amenities,Price per Night (USD)
Moonlight Resort,Resort,UK,Birmingham,"24hr Reception, Room Service, Parking, Air Conditioning, TV, WiFi, Nature Walks, Spa",172.98
Cosmic Resort,Business Trips and Meet Stays,India,Delhi,"Room Service, TV, Air Conditioning, 24hr Reception, Parking, WiFi, Business Center, Conference Room",189.85
Greenfield Resort,Resort,South Africa,Cape Town,"Room Service, Parking, Air Conditioning, WiFi, Nature Walks, Adventure Sports",176.59
Skyline Motel,Hotel,Australia,Melbourne,"TV, Room Service, 24hr Reception, Concierge",57.22
Greenfield Retreat,Vacation Tours and Travels,Japan,Tokyo,"Parking, TV, Air Conditioning, WiFi, 24hr Reception, Local Cuisine Sampling, Guided City Tours",30.04
Heritage Motel,Vacation Tours and Travels,USA,Chicago,"WiFi, TV, 24hr Reception, Parking, Guided City Tours",104.8
Golden Travels,Hotel,France,Marseille,"24hr Reception, TV, Air Conditioning, WiFi, Room Service, Parking, Concierge, Mini Bar",96.45
Royal Hotels,Hotel,UK,Birmingham,"Parking, TV, 24hr Reception, Air Conditioning, Room Service, WiFi, Laundry Service, Concierge",177.8
Cosmic Lodge,Hotel,Australia,Melbourne,"24hr Reception, Parking, Room Service, WiFi, TV, Air Conditioning, Concierge",111.58
Skyline Business Rooms,Resort,France,Marseille,"TV, WiFi, Air Conditioning, 24hr Reception, Parking, Room Service, Adventure Sports, Spa",388.68
Paradise Business Rooms,Vacation Tours and Travels,Japan,Kyoto,"Air Conditioning, TV, 24hr Reception, Room Service, Parking, WiFi, Guided City Tours, Vehicle Rentals",131.32
Majestic Motel,Resort,Japan,Osaka,"WiFi, TV, Room Service, 24hr Reception, Parking, Air Conditioning, Adventure Sports",142.48
Tranquil Motel,Business Trips and Meet Stays,UK,Birmingham,"TV, Room Service, 24hr Reception, WiFi, Business Center",211.9
Golden Suites,Hotel,South Africa,Johannesburg,"Air Conditioning, Parking, Room Service, TV, Laundry Service",112.32
Azure Travels,Hotel,Brazil,Rio de Janeiro,"WiFi, Room Service, Parking, 24hr Reception, Air Conditioning, Laundry Service",90.83
Greenfield Tours,Resort,Canada,Montreal,"TV, 24hr Reception, Air Conditioning, WiFi, Private Beach, Nature Walks",160.74
Urban Business Rooms,Resort,USA,Chicago,"Air Conditioning, WiFi, TV, Spa, Adventure Sports",391.4
Azure Motel,Vacation Tours and Travels,Canada,Montreal,"24hr Reception, Parking, Room Service, WiFi, Air Conditioning, TV, Guided City Tours, Vehicle Rentals",85.32
Sunset Travels,Hotel,UK,London,"Parking, TV, 24hr Reception, Concierge",189.74
Palm Travels,Resort,Canada,Toronto,"Parking, 24hr Reception, TV, Adventure Sports",161.29
Cosmic Resort,Business Trips and Meet Stays,Australia,Melbourne,"Room Service, Air Conditioning, TV, Parking, WiFi, Conference Room, Projector Facility",178.1
Tranquil Business Rooms,Business Trips and Meet Stays,Germany,Berlin,"TV, WiFi, Air Conditioning, Parking, Projector Facility, Work Desk",190.12
Golden Tours,Hotel,Germany,Munich,"WiFi, TV, 24hr Reception, Laundry Service, Concierge",118.29
Cosmic Tours,Hotel,Germany,Munich,"Parking, TV, 24hr Reception, Room Service, Air Conditioning, Concierge, Mini Bar",94.13
Urban Motel,Hotel,France,Lyon,"24hr Reception, Air Conditioning, TV, Parking, Laundry Service, Mini Bar",173.42
Vikas Tours,Resort,Brazil,Rio de Janeiro,"Air Conditioning, Parking, WiFi, TV, Private Beach",300.71
Oceanic Business Rooms,Business Trips and Meet Stays,India,Mumbai,"TV, 24hr Reception, WiFi, Room Service, Business Center",83.25
Greenfield Resort,Resort,Japan,Osaka,"TV, Room Service, 24hr Reception, WiFi, Parking, Air Conditioning, Adventure Sports, Nature Walks",281.32
Urban Inn,Resort,Australia,Sydney,"24hr Reception, TV, Room Service, Spa",320.52
Majestic Lodge,Vacation Tours and Travels,Brazil,Brasília,"24hr Reception, Parking, WiFi, Vehicle Rentals",50.21
Heritage Hotels,Business Trips and Meet Stays,South Africa,Johannesburg,"TV, Room Service, Air Conditioning, 24hr Reception, Projector Facility, Business Center",234.94
Skyline Lodge,Resort,Australia,Melbourne,"WiFi, Air Conditioning, Parking, Adventure Sports, Spa",398.85
Sapphire Suites,Business Trips and Meet Stays,Brazil,Rio de Janeiro,"WiFi, 24hr Reception, TV, Parking, Projector Facility",199.13
Amber Lodge,Resort,Brazil,Brasília,"TV, Parking, Air Conditioning, WiFi, Spa, Nature Walks",320.58
Skyline Suites,Resort,Australia,Brisbane,"TV, Air Conditioning, Parking, WiFi, Private Beach",271.9
Palm Inn,Business Trips and Meet Stays,India,Mumbai,"TV, Parking, WiFi, 24hr Reception, Air Conditioning, Projector Facility",169.75
Cosmic Business Rooms,Resort,USA,New York,"Room Service, WiFi, Air Conditioning, 24hr Reception, TV, Parking, Nature Walks",212.0
Royal Hotels,Hotel,Brazil,Rio de Janeiro,"TV, Room Service, 24hr Reception, Mini Bar",158.38
Golden Tours,Vacation Tours and Travels,India,Bangalore,"24hr Reception, Parking, TV, Room Service, Air Conditioning, WiFi, Vehicle Rentals",80.2
Paradise Motel,Resort,France,Paris,"TV, Parking, Room Service, Air Conditioning, WiFi, Adventure Sports, Private Beach",231.64
Maple Business Rooms,Hotel,UK,Manchester,"WiFi, TV, Parking, Room Service, 24hr Reception, Concierge, Laundry Service",116.01
Majestic Motel,Vacation Tours and Travels,Australia,Melbourne,"Parking, Room Service, TV, 24hr Reception, Air Conditioning, WiFi, Guided City Tours, Local Cuisine Sampling",63.85
Azure Motel,Business Trips and Meet Stays,Australia,Brisbane,"Parking, WiFi, Room Service, 24hr Reception, TV, Air Conditioning, Business Center",98.71
Palm Suites,Vacation Tours and Travels,Japan,Kyoto,"Room Service, 24hr Reception, Air Conditioning, TV, Guided City Tours, Local Cuisine Sampling",112.8
Amber Hotels,Hotel,France,Lyon,"WiFi, TV, Room Service, Mini Bar",186.87
Cosmic Resort,Resort,South Africa,Durban,"Room Service, Parking, 24hr Reception, Air Conditioning, TV, WiFi, Private Beach",224.4
Imperial Tours,Business Trips and Meet Stays,Germany,Munich,"24hr Reception, TV, Parking, Projector Facility",97.19
Skyline Motel,Business Trips and Meet Stays,Brazil,Brasília,"TV, 24hr Reception, WiFi, Parking, Room Service, Air Conditioning, Projector Facility",236.27
Tranquil Travels,Hotel,South Africa,Johannesburg,"24hr Reception, Room Service, Parking, WiFi, Laundry Service",192.78
Skyline Retreat,Business Trips and Meet Stays,USA,Miami,"Room Service, WiFi, 24hr Reception, TV, Air Conditioning, Projector Facility, Conference Room",231.0
Royal Retreat,Vacation Tours and Travels,Japan,Kyoto,"Parking, WiFi, Air Conditioning, 24hr Reception, Vehicle Rentals",80.41
Moonlight Hotels,Hotel,UK,Manchester,"Air Conditioning, WiFi, Parking, Concierge",82.94
Sunset Business Rooms,Resort,India,Bangalore,"Room Service, Parking, 24hr Reception, Nature Walks",223.6
Paradise Hotels,Hotel,South Africa,Johannesburg,"TV, 24hr Reception, Room Service, Concierge",67.18
Heritage Hotels,Vacation Tours and Travels,Germany,Frankfurt,"Room Service, TV, Air Conditioning, Local Cuisine Sampling",127.77
Cosmic Tours,Vacation Tours and Travels,Canada,Vancouver,"Air Conditioning, WiFi, TV, Local Cuisine Sampling",145.11
Sapphire Retreat,Resort,UK,Manchester,"24hr Reception, Room Service, TV, WiFi, Parking, Spa",140.72
Palm Motel,Business Trips and Meet Stays,USA,Los Angeles,"Parking, TV, WiFi, Air Conditioning, Room Service, Projector Facility",240.68
Azure Business Rooms,Resort,Brazil,Brasília,"Parking, Air Conditioning, Room Service, TV, WiFi, 24hr Reception, Nature Walks, Spa",104.74
Tranquil Suites,Vacation Tours and Travels,Japan,Tokyo,"24hr Reception, Room Service, Parking, Guided City Tours, Local Cuisine Sampling",110.65
Heritage Retreat,Hotel,Canada,Toronto,"TV, WiFi, Air Conditioning, 24hr Reception, Room Service, Parking, Mini Bar, Laundry Service",134.2
Skyline Motel,Hotel,Brazil,Rio de Janeiro,"Air Conditioning, Room Service, Parking, TV, WiFi, Mini Bar, Concierge",160.62
Skyline Hotels,Business Trips and Meet Stays,Japan,Kyoto,"Air Conditioning, Parking, TV, WiFi, Room Service, Conference Room",231.56
Imperial Hotels,Resort,Germany,Munich,"24hr Reception, Air Conditioning, Parking, Room Service, WiFi, Nature Walks, Spa",101.09
Cosmic Hotels,Vacation Tours and Travels,UK,London,"24hr Reception, Parking, Room Service, Air Conditioning, TV, Guided City Tours",75.83
Amber Business Rooms,Business Trips and Meet Stays,Brazil,São Paulo,"24hr Reception, Room Service, Parking, Air Conditioning, WiFi, Projector Facility",86.35
Urban Business Rooms,Vacation Tours and Travels,Brazil,Brasília,"Parking, 24hr Reception, Room Service, WiFi, TV, Local Cuisine Sampling, Guided City Tours",114.0
Maple Inn,Business Trips and Meet Stays,Japan,Osaka,"WiFi, 24hr Reception, Air Conditioning, Parking, Room Service, TV, Work Desk, Projector Facility",221.69
Sunset Lodge,Business Trips and Meet Stays,France,Marseille,"Air Conditioning, Parking, TV, Business Center, Projector Facility",110.61
Vikas Inn,Resort,Japan,Tokyo,"Air Conditioning, Parking, TV, Room Service, WiFi, 24hr Reception, Nature Walks, Adventure Sports",292.8
Amber Tours,Business Trips and Meet Stays,Japan,Tokyo,"Parking, WiFi, 24hr Reception, Projector Facility, Conference Room",186.95
Palm Tours,Business Trips and Meet Stays,Germany,Berlin,"24hr Reception, Parking, Air Conditioning, Conference Room, Projector Facility",202.47
Majestic Retreat,Business Trips and Meet Stays,UK,Birmingham,"Parking, Room Service, TV, Air Conditioning, Work Desk, Conference Room",182.58
Imperial Motel,Hotel,Canada,Toronto,"WiFi, Parking, Air Conditioning, Room Service, 24hr Reception, Laundry Service",168.21
Maple Motel,Vacation Tours and Travels,UK,Birmingham,"Parking, Room Service, Air Conditioning, WiFi, TV, Vehicle Rentals",47.53
Amber Travels,Resort,Brazil,Rio de Janeiro,"24hr Reception, Parking, WiFi, Air Conditioning, TV, Spa",397.66
Heritage Tours,Vacation Tours and Travels,India,Bangalore,"WiFi, Air Conditioning, Room Service, Vehicle Rentals",95.74
Greenfield Business Rooms,Vacation Tours and Travels,Japan,Tokyo,"24hr Reception, TV, Room Service, Air Conditioning, Parking, WiFi, Guided City Tours",130.22
Golden Lodge,Vacation Tours and Travels,India,Hyderabad,"24hr Reception, Air Conditioning, Room Service, Parking, WiFi, Vehicle Rentals, Guided City Tours",86.67
Paradise Hotels,Business Trips and Meet Stays,Canada,Montreal,"Room Service, WiFi, 24hr Reception, Work Desk",142.01
Azure Business Rooms,Business Trips and Meet Stays,India,Delhi,"Parking, 24hr Reception, TV, WiFi, Room Service, Business Center, Projector Facility",191.75
Oceanic Motel,Resort,Brazil,Rio de Janeiro,"24hr Reception, Air Conditioning, TV, Parking, Room Service, Private Beach, Adventure Sports",269.35
Majestic Retreat,Business Trips and Meet Stays,USA,Chicago,"24hr Reception, Air Conditioning, TV, Room Service, Parking, WiFi, Business Center, Work Desk",190.21
Palm Retreat,Resort,India,Bangalore,"Parking, TV, Air Conditioning, 24hr Reception, WiFi, Adventure Sports, Spa",370.94
Majestic Resort,Business Trips and Meet Stays,USA,New York,"TV, Room Service, WiFi, Air Conditioning, Parking, 24hr Reception, Business Center",249.87
Tranquil Tours,Vacation Tours and Travels,India,Bangalore,"Room Service, 24hr Reception, WiFi, Parking, Guided City Tours, Local Cuisine Sampling",48.29
Imperial Business Rooms,Vacation Tours and Travels,South Africa,Durban,"Room Service, Air Conditioning, 24hr Reception, Local Cuisine Sampling",37.46
Urban Tours,Vacation Tours and Travels,Australia,Melbourne,"Air Conditioning, WiFi, TV, 24hr Reception, Vehicle Rentals, Local Cuisine Sampling",45.72
Golden Suites,Resort,Japan,Osaka,"Room Service, TV, Air Conditioning, Parking, 24hr Reception, WiFi, Nature Walks",341.68
Golden Motel,Resort,Brazil,São Paulo,"Air Conditioning, 24hr Reception, Room Service, TV, Adventure Sports",330.26
Tranquil Hotels,Vacation Tours and Travels,Japan,Kyoto,"TV, Parking, Air Conditioning, 24hr Reception, WiFi, Guided City Tours, Local Cuisine Sampling",100.11
Amber Hotels,Vacation Tours and Travels,UK,Birmingham,"WiFi, Parking, 24hr Reception, Guided City Tours",137.47
Urban Inn,Vacation Tours and Travels,India,Hyderabad,"Parking, TV, WiFi, Room Service, Air Conditioning, 24hr Reception, Vehicle Rentals",136.42
Majestic Motel,Hotel,Brazil,São Paulo,"Room Service, Air Conditioning, WiFi, Concierge",75.29
Paradise Suites,Hotel,Germany,Berlin,"Air Conditioning, TV, Parking, Room Service, 24hr Reception, Concierge",125.4
Cosmic Lodge,Hotel,India,Mumbai,"WiFi, TV, 24hr Reception, Parking, Room Service, Mini Bar",196.81
Oceanic Inn,Vacation Tours and Travels,UK,London,"Air Conditioning, Room Service, Parking, WiFi, 24hr Reception, TV, Guided City Tours",148.44
Palm Suites,Business Trips and Meet Stays,South Africa,Durban,"24hr Reception, WiFi, Parking, Room Service, Air Conditioning, TV, Business Center, Conference Room",198.72
Tranquil Suites,Hotel,France,Paris,"TV, WiFi, Room Service, Laundry Service, Concierge",98.86
Majestic Suites,Resort,Brazil,Brasília,"WiFi, Room Service, Parking, TV, Private Beach, Adventure Sports",342.57
Moonlight Lodge,Business Trips and Meet Stays,Canada,Toronto,"24hr Reception, TV, WiFi, Air Conditioning, Parking, Work Desk",182.61
Golden Tours,Business Trips and Meet Stays,Japan,Osaka,"Room Service, Parking, Air Conditioning, WiFi, TV, 24hr Reception, Business Center, Conference Room",100.87
Majestic Inn,Vacation Tours and Travels,India,Mumbai,"WiFi, Air Conditioning, 24hr Reception, TV, Vehicle Rentals",79.8
Skyline Lodge,Business Trips and Meet Stays,Australia,Melbourne,"Air Conditioning, TV, Parking, Room Service, 24hr Reception, Work Desk",119.47
Urban Inn,Hotel,Germany,Berlin,"Room Service, 24hr Reception, WiFi, Parking, Air Conditioning, TV, Laundry Service, Concierge",78.94
Urban Suites,Hotel,Germany,Munich,"24hr Reception, TV, Parking, Room Service, Laundry Service",101.11
Skyline Resort,Hotel,Canada,Vancouver,"Room Service, Parking, 24hr Reception, WiFi, Concierge, Mini Bar",156.89
Heritage Travels,Resort,India,Bangalore,"Room Service, TV, WiFi, Private Beach, Nature Walks",108.07
Royal Travels,Resort,Japan,Kyoto,"24hr Reception, Room Service, Air Conditioning, WiFi, Spa, Nature Walks",352.43
Greenfield Retreat,Vacation Tours and Travels,France,Marseille,"Room Service, Parking, 24hr Reception, Guided City Tours, Local Cuisine Sampling",64.9
Skyline Motel,Resort,Japan,Tokyo,"Parking, WiFi, Room Service, Air Conditioning, TV, Nature Walks, Spa",133.72
Heritage Inn,Business Trips and Meet Stays,USA,New York,"24hr Reception, WiFi, Parking, Air Conditioning, Room Service, TV, Conference Room",161.32
Royal Suites,Business Trips and Meet Stays,Canada,Toronto,"Air Conditioning, 24hr Reception, TV, Conference Room, Projector Facility",121.04
Greenfield Motel,Hotel,UK,London,"24hr Reception, Room Service, WiFi, Parking, Mini Bar, Laundry Service",167.07
Maple Inn,Vacation Tours and Travels,USA,Los Angeles,"Room Service, Air Conditioning, 24hr Reception, Parking, WiFi, TV, Local Cuisine Sampling",88.48
Golden Hotels,Vacation Tours and Travels,USA,New York,"TV, Air Conditioning, 24hr Reception, Room Service, Local Cuisine Sampling",65.3
Azure Lodge,Hotel,Australia,Melbourne,"WiFi, 24hr Reception, Parking, Room Service, Concierge, Mini Bar",112.96
Moonlight Retreat,Business Trips and Meet Stays,Canada,Montreal,"Air Conditioning, TV, WiFi, Business Center",214.0
Cosmic Motel,Hotel,France,Paris,"Parking, Air Conditioning, TV, Laundry Service, Mini Bar",59.0
Oceanic Motel,Hotel,UK,Birmingham,"TV, Parking, Air Conditioning, WiFi, Laundry Service, Concierge",189.79
Maple Resort,Hotel,Japan,Kyoto,"TV, Air Conditioning, Room Service, WiFi, 24hr Reception, Laundry Service",65.38
Urban Lodge,Business Trips and Meet Stays,USA,New York,"WiFi, TV, 24hr Reception, Room Service, Air Conditioning, Work Desk, Business Center",143.18
Heritage Lodge,Business Trips and Meet Stays,Germany,Munich,"Air Conditioning, Parking, WiFi, Projector Facility, Business Center",81.84
Azure Motel,Hotel,India,Bangalore,"Parking, Room Service, TV, 24hr Reception, Air Conditioning, Laundry Service, Concierge",75.79
Urban Tours,Resort,UK,Birmingham,"24hr Reception, Room Service, TV, Air Conditioning, Private Beach",240.96
Royal Inn,Resort,Brazil,Brasília,"TV, 24hr Reception, WiFi, Parking, Air Conditioning, Room Service, Adventure Sports, Private Beach",127.92
Urban Travels,Hotel,UK,London,"24hr Reception, Room Service, Parking, Air Conditioning, WiFi, TV, Mini Bar",55.46
Skyline Lodge,Vacation Tours and Travels,France,Lyon,"TV, Parking, 24hr Reception, WiFi, Room Service, Air Conditioning, Local Cuisine Sampling, Vehicle Rentals",101.27
Sapphire Tours,Hotel,Brazil,São Paulo,"WiFi, Room Service, Air Conditioning, Concierge",173.37
Tranquil Inn,Resort,Japan,Tokyo,"Air Conditioning, Parking, WiFi, Room Service, TV, 24hr Reception, Private Beach, Spa",309.84
Oceanic Resort,Business Trips and Meet Stays,USA,Chicago,"Air Conditioning, WiFi, Room Service, Work Desk",211.52
Sapphire Hotels,Hotel,France,Paris,"WiFi, TV, Room Service, Parking, Air Conditioning, Laundry Service",188.61
Urban Hotels,Vacation Tours and Travels,India,Bangalore,"24hr Reception, Parking, WiFi, Guided City Tours, Vehicle Rentals",52.94
Azure Travels,Resort,Germany,Frankfurt,"Room Service, WiFi, TV, Parking, Air Conditioning, Spa",110.66
Azure Resort,Hotel,South Africa,Durban,"Room Service, 24hr Reception, WiFi, TV, Air Conditioning, Concierge",91.79
Majestic Resort,Vacation Tours and Travels,India,Bangalore,"WiFi, Air Conditioning, 24hr Reception, TV, Room Service, Parking, Local Cuisine Sampling",120.4
Imperial Travels,Vacation Tours and Travels,USA,Los Angeles,"TV, Room Service, Air Conditioning, 24hr Reception, Parking, Local Cuisine Sampling, Guided City Tours",61.48
Paradise Motel,Hotel,Australia,Brisbane,"24hr Reception, Parking, Air Conditioning, Room Service, TV, Laundry Service, Mini Bar",167.36
Oceanic Resort,Resort,UK,London,"TV, Air Conditioning, Room Service, Parking, Nature Walks, Spa",181.33
Vikas Business Rooms,Vacation Tours and Travels,India,Hyderabad,"Room Service, Parking, 24hr Reception, Air Conditioning, WiFi, TV, Local Cuisine Sampling",65.52
Majestic Motel,Hotel,USA,Miami,"Room Service, Air Conditioning, TV, 24hr Reception, WiFi, Mini Bar, Concierge",84.74
Skyline Tours,Hotel,India,Mumbai,"TV, 24hr Reception, Air Conditioning, Concierge",138.05
Imperial Resort,Vacation Tours and Travels,India,Mumbai,"24hr Reception, WiFi, TV, Room Service, Parking, Vehicle Rentals, Guided City Tours",67.47
Heritage Resort,Hotel,France,Lyon,"TV, WiFi, Room Service, Laundry Service, Mini Bar",82.79
Maple Inn,Hotel,India,Bangalore,"Air Conditioning, WiFi, Parking, TV, Room Service, Concierge",106.41
Maple Retreat,Business Trips and Meet Stays,Germany,Berlin,"Parking, 24hr Reception, Air Conditioning, WiFi, Room Service, Work Desk",157.67
Moonlight Business Rooms,Resort,Australia,Melbourne,"WiFi, Air Conditioning, Parking, 24hr Reception, Adventure Sports",309.42
Maple Resort,Business Trips and Meet Stays,Australia,Brisbane,"Parking, WiFi, Air Conditioning, Business Center, Projector Facility",190.17
Sunset Inn,Hotel,UK,Manchester,"Air Conditioning, Room Service, Parking, TV, 24hr Reception, WiFi, Mini Bar",71.53
Vikas Hotels,Vacation Tours and Travels,South Africa,Durban,"TV, WiFi, 24hr Reception, Local Cuisine Sampling, Guided City Tours",139.94
Cosmic Resort,Vacation Tours and Travels,India,Mumbai,"Parking, WiFi, Air Conditioning, Vehicle Rentals",99.35
Vikas Hotels,Hotel,Germany,Frankfurt,"Room Service, Parking, Air Conditioning, 24hr Reception, TV, WiFi, Laundry Service",174.11
Imperial Inn,Vacation Tours and Travels,South Africa,Cape Town,"TV, Parking, Room Service, WiFi, 24hr Reception, Guided City Tours, Local Cuisine Sampling",37.95
Azure Hotels,Vacation Tours and Travels,Germany,Berlin,"Air Conditioning, 24hr Reception, Room Service, WiFi, TV, Guided City Tours, Local Cuisine Sampling",48.28
Imperial Hotels,Resort,USA,Los Angeles,"TV, 24hr Reception, WiFi, Adventure Sports, Nature Walks",263.22
Royal Inn,Vacation Tours and Travels,USA,Chicago,"Air Conditioning, Parking, WiFi, TV, Local Cuisine Sampling, Guided City Tours",56.33
Tranquil Suites,Resort,UK,Birmingham,"Parking, WiFi, Air Conditioning, TV, Adventure Sports",127.27
Tranquil Inn,Business Trips and Meet Stays,India,Mumbai,"Parking, Air Conditioning, Room Service, 24hr Reception, TV, WiFi, Projector Facility, Conference Room",181.88
Heritage Hotels,Business Trips and Meet Stays,India,Hyderabad,"Air Conditioning, 24hr Reception, Room Service, WiFi, Parking, Business Center",140.82
Paradise Business Rooms,Vacation Tours and Travels,Japan,Kyoto,"TV, Parking, 24hr Reception, Room Service, Air Conditioning, Local Cuisine Sampling, Vehicle Rentals",106.12
Tranquil Tours,Vacation Tours and Travels,USA,Los Angeles,"TV, Room Service, WiFi, Parking, Air Conditioning, Local Cuisine Sampling",79.24
Moonlight Business Rooms,Business Trips and Meet Stays,France,Lyon,"TV, Parking, Room Service, WiFi, Air Conditioning, 24hr Reception, Work Desk",209.56
Cosmic Inn,Hotel,Japan,Tokyo,"Room Service, Air Conditioning, 24hr Reception, Parking, TV, WiFi, Concierge, Mini Bar",140.2
Azure Suites,Vacation Tours and Travels,Brazil,Brasília,"24hr Reception, Parking, Room Service, WiFi, TV, Air Conditioning, Guided City Tours",92.75
Imperial Tours,Hotel,France,Lyon,"TV, Parking, Air Conditioning, Concierge",130.98
Golden Business Rooms,Resort,UK,Manchester,"Air Conditioning, WiFi, TV, Adventure Sports",340.66
Oceanic Business Rooms,Hotel,Australia,Melbourne,"WiFi, 24hr Reception, Parking, Room Service, TV, Air Conditioning, Laundry Service, Concierge",155.51
Vikas Motel,Vacation Tours and Travels,USA,New York,"Air Conditioning, Parking, WiFi, TV, Local Cuisine Sampling, Vehicle Rentals",85.96
Maple Retreat,Business Trips and Meet Stays,Australia,Melbourne,"Parking, 24hr Reception, Air Conditioning, TV, WiFi, Room Service, Business Center",131.86
Sunset Travels,Resort,Japan,Tokyo,"TV, WiFi, 24hr Reception, Air Conditioning, Spa, Adventure Sports",111.28
Palm Resort,Business Trips and Meet Stays,Brazil,São Paulo,"WiFi, TV, Air Conditioning, 24hr Reception, Room Service, Parking, Work Desk",117.93
Urban Inn,Vacation Tours and Travels,Brazil,Rio de Janeiro,"WiFi, 24hr Reception, Room Service, TV, Air Conditioning, Local Cuisine Sampling, Vehicle Rentals",139.82
Maple Hotels,Vacation Tours and Travels,UK,Manchester,"TV, WiFi, Parking, Room Service, Air Conditioning, Guided City Tours",94.59
Skyline Inn,Business Trips and Meet Stays,India,Bangalore,"24hr Reception, Room Service, Air Conditioning, Business Center",90.18
Heritage Suites,Resort,Canada,Toronto,"Room Service, WiFi, Air Conditioning, Parking, 24hr Reception, TV, Adventure Sports",372.54
Oceanic Motel,Hotel,Germany,Berlin,"TV, Parking, 24hr Reception, Laundry Service",95.52
Paradise Lodge,Business Trips and Meet Stays,Australia,Sydney,"24hr Reception, WiFi, TV, Room Service, Projector Facility, Business Center",103.91
Paradise Resort,Resort,Canada,Vancouver,"24hr Reception, Parking, TV, Room Service, Air Conditioning, Spa, Adventure Sports",322.98
Golden Resort,Vacation Tours and Travels,Germany,Munich,"24hr Reception, Air Conditioning, Parking, WiFi, Local Cuisine Sampling, Guided City Tours",118.83
Sapphire Hotels,Hotel,South Africa,Cape Town,"WiFi, 24hr Reception, Room Service, Parking, Laundry Service, Concierge",55.46
Heritage Business Rooms,Hotel,South Africa,Cape Town,"Air Conditioning, WiFi, TV, 24hr Reception, Laundry Service, Mini Bar",81.2
Vikas Retreat,Vacation Tours and Travels,UK,Manchester,"TV, WiFi, Parking, Local Cuisine Sampling, Vehicle Rentals",117.8
Imperial Inn,Hotel,France,Marseille,"24hr Reception, TV, Room Service, Mini Bar",137.98
Sapphire Suites,Business Trips and Meet Stays,UK,Manchester,"24hr Reception, Room Service, Air Conditioning, TV, Parking, Business Center, Projector Facility",225.75
Cosmic Retreat,Hotel,India,Hyderabad,"TV, Parking, 24hr Reception, Air Conditioning, Room Service, WiFi, Concierge",158.8
Imperial Tours,Hotel,India,Bangalore,"WiFi, Parking, Air Conditioning, Room Service, TV, 24hr Reception, Mini Bar, Concierge",111.96
Amber Motel,Business Trips and Meet Stays,UK,London,"WiFi, Parking, Air Conditioning, Room Service, Projector Facility",141.49
Heritage Inn,Resort,Germany,Berlin,"Air Conditioning, TV, Room Service, Parking, 24hr Reception, Nature Walks",178.53
Heritage Tours,Vacation Tours and Travels,South Africa,Durban,"24hr Reception, WiFi, Room Service, Air Conditioning, TV, Parking, Local Cuisine Sampling",53.88
Palm Hotels,Hotel,South Africa,Cape Town,"WiFi, TV, 24hr Reception, Laundry Service",73.85
Royal Travels,Business Trips and Meet Stays,Japan,Tokyo,"WiFi, Parking, Room Service, Work Desk, Business Center",126.27
Moonlight Travels,Business Trips and Meet Stays,Canada,Vancouver,"TV, Room Service, 24hr Reception, Parking, WiFi, Air Conditioning, Projector Facility",154.27
Paradise Business Rooms,Hotel,Germany,Munich,"WiFi, Room Service, Parking, Laundry Service, Mini Bar",111.58
Imperial Lodge,Vacation Tours and Travels,India,Hyderabad,"WiFi, Parking, Room Service, TV, Local Cuisine Sampling",60.32
Sapphire Travels,Hotel,Brazil,Rio de Janeiro,"Room Service, TV, Air Conditioning, Parking, Mini Bar",160.31
Paradise Resort,Resort,Germany,Munich,"TV, 24hr Reception, Room Service, Parking, WiFi, Spa, Adventure Sports",176.23
Amber Inn,Hotel,UK,Birmingham,"Air Conditioning, Room Service, TV, WiFi, Parking, Laundry Service, Mini Bar",140.07
Sapphire Resort,Business Trips and Meet Stays,France,Lyon,"Air Conditioning, WiFi, TV, Parking, 24hr Reception, Projector Facility, Business Center",144.93
Golden Retreat,Hotel,France,Marseille,"Parking, TV, Room Service, 24hr Reception, Air Conditioning, WiFi, Mini Bar",134.71
Cosmic Tours,Vacation Tours and Travels,Germany,Munich,"TV, Parking, Room Service, WiFi, 24hr Reception, Vehicle Rentals, Local Cuisine Sampling",122.22
Oceanic Lodge,Resort,India,Delhi,"Room Service, WiFi, 24hr Reception, Air Conditioning, Parking, Private Beach, Adventure Sports",395.38
Majestic Retreat,Vacation Tours and Travels,Japan,Kyoto,"Parking, 24hr Reception, Room Service, WiFi, Air Conditioning, TV, Guided City Tours, Vehicle Rentals",51.51
Maple Motel,Resort,Canada,Montreal,"TV, Parking, 24hr Reception, WiFi, Adventure Sports, Spa",371.41
Royal Hotels,Hotel,USA,Miami,"TV, 24hr Reception, Parking, Mini Bar",143.05
Cosmic Lodge,Resort,Japan,Tokyo,"TV, Air Conditioning, WiFi, 24hr Reception, Private Beach, Adventure Sports",232.93
Golden Business Rooms,Resort,Brazil,Brasília,"24hr Reception, Parking, Air Conditioning, Room Service, TV, Spa, Nature Walks",357.57
Moonlight Retreat,Hotel,Japan,Osaka,"TV, Parking, WiFi, Room Service, Concierge",146.45
Majestic Tours,Hotel,Japan,Tokyo,"Parking, Air Conditioning, Room Service, 24hr Reception, Laundry Service, Concierge",167.41
Imperial Business Rooms,Vacation Tours and Travels,South Africa,Cape Town,"Air Conditioning, Room Service, Parking, Guided City Tours, Vehicle Rentals",111.84
Amber Suites,Hotel,Australia,Sydney,"24hr Reception, WiFi, Room Service, Mini Bar",196.14
